LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID18685,18685,0,606.0,24.495309050772626,55.895695364238414,0.0,90.0,90,13.865755343832143,1,,670.5182724252492,295.0,72.0,4824.0,403652.0,871.3577928496073,0.8897076129250896,0.7245974268776394,-0.18933222537332828,0.24207251279284922,37.76425987731949,5.403409329444254,1.8702979355988676,6.988968922182984,604.0000000000002,181.21884147617615,0.23112137008544054,0.8501055594651655,7.373690085259621
ID18708,18708,0,605.0,24.995592286501378,54.62341597796143,0.0,91.0,91,13.877228871110882,1,,662.3102310231023,297.0,71.0,4923.0,401360.0,872.5187209875016,0.8841996595738512,0.712426602289963,0.1060484282581942,-0.2443761901746741,37.02465040166206,5.509609466627056,-1.2706170733666204,6.720013573725813,605.0,168.34636671640448,0.26826112594651147,0.8923303834808259,6.8442530862361535
ID18687,18687,0,589.0,25.20194750211685,54.049534292972055,0.0,92.0,92,13.709922968110668,1,,681.7079796264856,290.0,72.0,5167.0,401526.0,888.1153646760267,0.8841236051012532,0.7203815559378072,0.35162563357648163,-1.8420070841813534,34.863389128746775,5.713205082878824,1.8813695878353713,6.102247096507076,590.5,167.12971086684027,0.2656577207705059,0.865201465201465,6.8777076422489785
ID18683,18683,0,587.0,24.995342929720575,54.510725373976854,0.0,93.0,93,13.709922968110666,1,,685.3491525423728,298.0,81.0,4996.0,404356.0,888.733138213341,0.8865985970432785,0.7247997490963451,0.2961800062240414,-1.2173073812935078,34.886805916990035,5.704515605410456,-1.257356916882066,6.1156473801038596,590.4999999999999,170.95684134447987,0.25389654779111265,0.8328631875881521,7.0352013900537465
ID18689,18689,0,579.0,25.186002886002886,53.9943722943723,0.0,94.0,94,13.558169466087195,1,,690.3108808290156,306.0,83.0,4950.0,399690.0,887.8231338654853,0.8865808594217334,0.7307876248993933,-0.018206089252827833,0.281864881898609,35.63080744121428,5.501093258162339,1.8714028739227222,6.477041156927576,577.5,170.40445474909276,0.2499193971441004,0.8393895348837208,7.090958598802547
ID18691,18691,0,591.0,24.845896147403685,55.02233389168063,0.0,95.0,95,13.7851732688321,1,,675.107202680067,305.0,75.0,4984.0,403039.0,874.8113096059499,0.8865761020930543,0.7253206464832915,-0.016083140135092263,-0.10383701306912518,34.17517956652655,5.550780300532781,1.8769253738709528,6.156824395165903,597.0000000000001,166.58948905721024,0.27032673733401363,0.8747252747252751,6.81805390630275
ID18715,18715,0,582.0,25.248726655348047,53.749575551782684,0.0,96.0,96,13.692498784453214,1,,678.2125850340136,300.0,77.0,4914.0,398789.0,874.7085943835042,0.884148010110305,0.7276832933105709,0.29029580019604223,-1.1241462338159702,36.36773249383571,5.602583729184452,1.8606135438465166,6.491243014252932,589.0,166.5092495389291,0.26696137587058283,0.900611620795107,6.860894102169482
ID18709,18709,0,585.0,25.222033898305085,53.72062146892655,0.0,97.0,97,13.704117368456696,1,,677.9694915254237,298.0,76.0,4926.0,400002.0,881.9789269537979,0.8854930107480422,0.7220082314178674,0.48569120975105523,-1.9578256075632048,36.18610557810949,5.523308582954667,1.868914164289262,6.551527048440215,589.9999999999999,166.83542950855255,0.26636999844139575,0.8682855040470931,6.868505936186499
ID18704,18704,0,596.0,25.33415705656233,52.75617792421746,0.0,98.0,98,13.900147514093545,1,,666.332784184514,291.0,62.0,5006.0,404464.0,878.4585723466784,0.8850989357214933,0.7122911726891861,-0.02865529142862629,-0.019376156949973775,34.979899705887014,5.643144433922051,-1.2625564900824062,6.198653980149074,607.0,168.66931849875044,0.26811824915005794,0.8628287135749824,6.846076450959128
ID18694,18694,0,587.0,25.195812110922468,53.696378041878894,0.0,99.0,99,13.692498784453214,1,,685.69779286927,304.0,73.0,5136.0,403876.0,890.054177636268,0.8860562550444534,0.7238572987781983,0.34286168948327794,-0.9593708145501607,34.620310735253426,5.534688042222647,1.8756713408721675,6.255151233663828,589.0,157.87722906263133,0.2969519407753491,0.9096525096525097,6.5052178947538
